U	Energy	Variance	Error
4	-484.2663162	0.7053160628	0.008571488973
8	-553.9168025	2.857934865	0.01725402992
9	-578.7321859	3.500772609	0.01909617274
10	-606.5601995	4.856764312	0.02249250873
11	-637.5627534	5.753354298	0.02448076264
12	-671.7165135	7.519218146	0.02798663771
13	-709.4848926	8.992047494	0.03060509131
14	-750.087697	8.472312545	0.02970744952
15	-791.8737182	7.721525709	0.0283606346
16	-834.6634882	7.06093836	0.02712036896
17	-878.2191346	5.96445918	0.02492584665
18	-922.3312495	5.630567978	0.02421812333
20	-1011.769481	6.011654567	0.02502426857
