U	Energy	Variance	Error
4	-752.6910265	4.388425304	0.02138054339
8	-861.807956	19.05771699	0.04455534595
9	-900.7037156	24.3293574	0.05034191159
10	-944.3264651	30.43048836	0.05630135467
11	-992.9140326	37.63371207	0.06261132757
12	-1046.860384	44.90547896	0.0683933773
13	-1105.477124	48.12247748	0.07080083383
14	-1167.268578	48.0613289	0.0707558367
15	-1231.544449	47.36869327	0.07024413771
16	-1297.407532	42.55372178	0.06657837
17	-1364.294035	41.46639234	0.06572226312
18	-1432.182311	37.37948215	0.06239948764
20	-1570.042217	36.32687692	0.0615146298
