U	Energy	Variance	Error
4	-1077.832182	8.371614095	0.002953037648
8	-1235.829304	32.89805395	0.005853956456
9	-1291.877089	41.4372863	0.006569919322
10	-1355.559257	51.46984476	0.007322186943
11	-1425.473049	61.69623449	0.008016664576
12	-1502.915175	72.02613304	0.008661825553
13	-1586.413475	77.25068278	0.008970477202
14	-1674.157801	78.4335512	0.009038894613
15	-1764.84436	77.26696793	0.008971422681
16	-1857.616446	77.03033351	0.008957674405
17	-1952.543895	73.8719256	0.008772110493
18	-2048.749285	70.35445433	0.008560717839
