U	Energy	Variance	Error
4	-570.9888433	13.62588982	0.01191370439
5	-627.5021495	20.50494744	0.01461482817
6	-686.2093016	27.2669579	0.01685321368
7	-746.9824056	35.26853653	0.01916717478
8	-809.4447885	41.99863723	0.02091616132
9	-873.4197351	47.58762881	0.02226442155
10	-938.6236644	53.03124778	0.02350337914
11	-1004.841882	57.46885904	0.02446699713
12	-1071.872475	62.06750113	0.02542708143
13	-1139.581813	65.05905405	0.02603264258
14	-1207.846901	67.55877877	0.02652804702
18	-1484.672151	73.88239139	0.02774181399
