U	raw gap 	projected gap	extrapolated gap 
4	3.470371891	3.427772427	3.395601335
8	3.169013174	3.115948531	3.068678436
9	3.055923145	2.943419986	2.827749511
10	2.771842439	2.737753007	2.707435015
11	2.389826791	2.262992347	2.150034406
12	2.131544768	1.997271031	1.882846955
13	2.505983316	2.36896434	2.254673289
14	3.929551024	3.788401156	3.673859257
15	5.131566235	4.999564835	4.906655235
16	6.291306127	6.128590751	6.025490859
17	7.431117564	7.335472051	7.26834477
18	8.379941293	8.27937047	8.204605464
20	10.46416384	10.38689093	10.34301033
