U	raw gap 	projected gap 	extrapolated gap 
4	3.956999902	3.760598253	3.601321943
8	3.421749655	3.138893542	2.920853254
9	3.16814183	2.878675696	2.613682494
10	3.0049886	2.723605619	2.462094821
11	2.529560786	2.23912669	1.988782183
12	2.028604324	1.765612575	1.546664359
13	1.768446355	1.520966755	1.381460957
14	3.380830613	3.222594226	3.136889454
15	4.909659912	4.673919948	4.541734067
16	6.16880353	5.925957227	5.781923938
17	7.361559577	7.140790319	7.013383784
18	8.475992792	8.308200518	8.179898768
20	10.47841939	10.31134429	10.20772048
