|k|	energy structure factor	energy structure factor fit
0	0.2494936168	0.2475783745
0.6045997881	0.2435384239	0.2451615198
1.209199576	0.2378961725	0.2387952029
1.813799364	0.2287978409	0.2284794238
2.418399152	0.2159902775	0.2142141825
3.02299894	0.2085714416	0.195999479
3.627598728	0.2028436408	0.1738353133
3.02299894	0.2079068166	0.195999479
2.418399152	0.2159693947	0.2142141825
1.813799364	0.2286885858	0.2284794238
1.209199576	0.2380786326	0.2387952029
0.6045997881	0.243746653	0.2451615198
0.3490658504	0.2477890411	0.2466648706
0.3490658504	0.2473543263	0.2466648706
0.9235414313	0.2420413538	0.2422953136
1.521542767	0.2329508262	0.2339590909
2.123284675	0.2222239402	0.2216706706
2.726291445	0.2145166844	0.2054318631
3.329875986	0.2063288714	0.1852431709
3.329875986	0.2057497827	0.1852431709
2.726291445	0.214444844	0.2054318631
2.123284675	0.2245369446	0.2216706706
1.521542767	0.2356875165	0.2339590909
0.9235414313	0.2441290921	0.2422953136
0.6981317008	0.2439311873	0.2444348793
0.3490658504	0.2469359808	0.2466648706
0.6981317008	0.241389115	0.2444348793
1.258574822	0.2353525149	0.2381008527
1.847082863	0.2289947884	0.227796841
2.443460953	0.2215332614	0.213537612
3.043085533	0.2094595308	0.1953265467
3.64435447	0.2052983098	0.1731648167
3.043085533	0.2138929971	0.1953265467
2.443460953	0.2167027494	0.213537612
1.847082863	0.2289272836	0.227796841
1.258574822	0.2413589953	0.2381008527
1.047197551	0.2449837633	0.2408884007
0.6045997881	0.2433386412	0.2451615198
0.6045997881	0.2436324201	0.2451615198
1.047197551	0.2380530271	0.2408884007
1.599620682	0.2328625534	0.2325855077
2.179915537	0.2221546923	0.2203127709
2.770624294	0.2178773373	0.2040829566
3.366269154	0.2057874737	0.1839000704
3.366269154	0.2079198252	0.1839000704
2.770624294	0.212089962	0.2040829566
2.179915537	0.2264403796	0.2203127709
1.599620682	0.23115296	0.2325855077
1.396263402	0.2355354814	0.2360254346
0.9235414313	0.2394294704	0.2422953136
0.6981317008	0.2485184998	0.2444348793
0.9235414313	0.2406340085	0.2422953136
1.396263402	0.2386222235	0.2360254346
1.943516402	0.2210018766	0.2257515913
2.517149644	0.2257176348	0.2115089948
3.102565143	0.2110307747	0.1933083201
3.694165725	0.2072254346	0.1711536603
3.102565143	0.2138422211	0.1933083201
2.517149644	0.2173997909	0.2115089948
1.943516402	0.2278426226	0.2257515913
1.745329252	0.2310564894	0.2298459811
1.258574822	0.2359241581	0.2381008527
0.9235414313	0.243314835	0.2422953136
0.9235414313	0.2424579558	0.2422953136
1.258574822	0.2352280883	0.2381008527
1.745329252	0.2272789725	0.2298459811
2.288977855	0.2192109573	0.2176000425
2.857227126	0.2074551543	0.201386652
3.437899924	0.2031015411	0.1812147144
3.437899924	0.2058758929	0.1812147144
2.857227126	0.2155979565	0.201386652
2.288977855	0.2254590618	0.2176000425
2.094395102	0.2241759448	0.2223500402
1.599620682	0.2323931477	0.2325855077
1.209199576	0.2406722015	0.2387952029
1.047197551	0.2387422462	0.2408884007
1.209199576	0.2392776845	0.2387952029
1.599620682	0.2344985911	0.2325855077
2.094395102	0.2207171173	0.2223500402
2.635389378	0.2189722942	0.2081313115
3.199241364	0.2088446514	0.1899464055
3.775724466	0.2036591784	0.1678028006
3.199241364	0.210616678	0.1899464055
2.635389378	0.2168108097	0.2081313115
2.443460953	0.2187028208	0.213537612
1.943516402	0.2258392152	0.2257515913
1.521542767	0.2371500312	0.2339590909
1.258574822	0.2381537778	0.2381008527
1.258574822	0.2381108108	0.2381008527
1.521542767	0.2346923677	0.2339590909
1.943516402	0.224654168	0.2257515913
2.443460953	0.2208837408	0.213537612
2.982419933	0.2117796872	0.1973456405
3.542631465	0.2089743406	0.1771886655
3.542631465	0.2073889345	0.1771886655
2.982419933	0.2149076227	0.1973456405
2.792526803	0.2155201798	0.2034086963
2.288977855	0.2190969142	0.2176000425
1.847082863	0.2291323625	0.227796841
1.521542767	0.2371447659	0.2339590909
1.396263402	0.2362109432	0.2360254346
1.521542767	0.2322540349	0.2339590909
1.847082863	0.2309018355	0.227796841
2.288977855	0.2209500149	0.2176000425
2.792526803	0.210888465	0.2034086963
3.329875986	0.211770311	0.1852431709
3.887032804	0.2023076863	0.1631136987
3.329875986	0.207288505	0.1852431709
3.141592654	0.2074188948	0.1919632932
2.635389378	0.2142431613	0.2081313115
2.179915537	0.2246958224	0.2203127709
1.813799364	0.2230029619	0.2284794238
1.599620682	0.2295433673	0.2325855077
1.599620682	0.2362389618	0.2325855077
1.813799364	0.2266682845	0.2284794238
2.179915537	0.2214950027	0.2203127709
2.635389378	0.217746925	0.2081313115
3.141592654	0.208411135	0.1919632932
3.677636937	0.2022563603	0.171823991
3.677636937	0.2035326064	0.171823991
3.490658504	0.2062897317	0.1792014027
2.982419933	0.2090640861	0.1973456405
2.517149644	0.2155713747	0.2115089948
2.123284675	0.2228855214	0.2216706706
1.847082863	0.2287494458	0.227796841
1.745329252	0.2285119379	0.2298459811
1.847082863	0.2334235335	0.227796841
2.123284675	0.2237998539	0.2216706706
2.517149644	0.2156220974	0.2115089948
2.982419933	0.2126204971	0.1973456405
3.490658504	0.2100792036	0.1792014027
4.025623769	0.2016026016	0.1570881584
3.839724354	0.2015949576	0.1651230249
3.329875986	0.2082902454	0.1852431709
2.857227126	0.2092345759	0.201386652
2.443460953	0.2173882813	0.213537612
2.123284675	0.2210020961	0.2216706706
1.943516402	0.222873831	0.2257515913
1.943516402	0.2246790276	0.2257515913
2.123284675	0.2251855128	0.2216706706
2.443460953	0.2213078587	0.213537612
2.857227126	0.2085318863	0.201386652
3.329875986	0.2077858435	0.1852431709
3.839724354	0.2012871591	0.1651230249
4.188790205	0.197353613	0.1497281596
3.677636937	0.201531772	0.171823991
3.199241364	0.204476766	0.1899464055
2.770624294	0.2120417638	0.2040829566
2.418399152	0.2207571639	0.2142141825
2.179915537	0.220716119	0.2203127709
2.094395102	0.2213629005	0.2223500402
2.179915537	0.2206666414	0.2203127709
2.418399152	0.2175609293	0.2142141825
2.770624294	0.2148521376	0.2040829566
3.199241364	0.2071923241	0.1899464055
3.677636937	0.2038531314	0.171823991
4.025623769	0.2003751189	0.1570881584
4.025623769	0.2031747084	0.1570881584
3.542631465	0.2020073538	0.1771886655
3.102565143	0.2105917165	0.1933083201
2.726291445	0.216470668	0.2054318631
2.443460953	0.2153231668	0.213537612
2.288977855	0.2186500281	0.2176000425
2.288977855	0.2207878531	0.2176000425
2.443460953	0.2182089275	0.213537612
2.726291445	0.2149512349	0.2054318631
3.102565143	0.2100908837	0.1933083201
3.542631465	0.2060963312	0.1771886655
3.887032804	0.2037422888	0.1631136987
3.839724354	0.2002444805	0.1651230249
3.887032804	0.2004023456	0.1631136987
3.437899924	0.2099312411	0.1812147144
3.043085533	0.2107642369	0.1953265467
2.726291445	0.2198638998	0.2054318631
2.517149644	0.212864645	0.2115089948
2.443460953	0.2166925642	0.213537612
2.517149644	0.2164188728	0.2115089948
2.726291445	0.2138549419	0.2054318631
3.043085533	0.212317574	0.1953265467
3.437899924	0.2052457312	0.1812147144
3.775724466	0.2051105572	0.1678028006
3.677636937	0.204022354	0.171823991
3.677636937	0.2031118677	0.171823991
3.775724466	0.1975438019	0.1678028006
3.366269154	0.211691048	0.1839000704
3.02299894	0.2109748595	0.195999479
2.770624294	0.2143628189	0.2040829566
2.635389378	0.2152011223	0.2081313115
2.635389378	0.2156933531	0.2081313115
2.770624294	0.2177516581	0.2040829566
3.02299894	0.2084182592	0.195999479
3.366269154	0.2088524219	0.1839000704
3.694165725	0.2033380304	0.1711536603
3.542631465	0.2056829261	0.1771886655
3.490658504	0.2073553291	0.1792014027
3.542631465	0.2047464005	0.1771886655
3.694165725	0.2027651102	0.1711536603
3.329875986	0.2111860002	0.1852431709
3.043085533	0.2094847747	0.1953265467
2.857227126	0.2142359827	0.201386652
2.792526803	0.2115189992	0.2034086963
2.857227126	0.2165018116	0.201386652
3.043085533	0.2076503263	0.1953265467
3.329875986	0.2088398724	0.1852431709
3.64435447	0.2054397388	0.1731648167
3.437899924	0.2062470181	0.1812147144
3.329875986	0.2119549148	0.1852431709
3.329875986	0.2070934313	0.1852431709
3.437899924	0.2082592986	0.1812147144
3.64435447	0.2036063753	0.1731648167
3.329875986	0.2070175711	0.1852431709
3.102565143	0.2059105946	0.1933083201
2.982419933	0.2104174491	0.1973456405
2.982419933	0.2132780225	0.1973456405
3.102565143	0.2076493087	0.1933083201
3.329875986	0.2057937177	0.1852431709
3.627598728	0.2017359732	0.1738353133
3.366269154	0.2088567532	0.1839000704
3.199241364	0.207845804	0.1899464055
3.141592654	0.2075651292	0.1919632932
3.199241364	0.2057318605	0.1899464055
3.366269154	0.208073571	0.1839000704
3.627598728	0.2080821891	0.1738353133
3.366269154	0.2083628101	0.1839000704
3.199241364	0.2069121908	0.1899464055
3.141592654	0.2066136917	0.1919632932
3.199241364	0.2077636784	0.1899464055
3.366269154	0.2082798517	0.1839000704
3.64435447	0.2056126061	0.1731648167
3.329875986	0.2050779143	0.1852431709
3.102565143	0.2074255017	0.1933083201
2.982419933	0.2132924612	0.1973456405
2.982419933	0.2108189382	0.1973456405
3.102565143	0.2063567489	0.1933083201
3.329875986	0.2086905727	0.1852431709
3.64435447	0.2032030499	0.1731648167
3.437899924	0.2071867983	0.1812147144
3.329875986	0.2082421581	0.1852431709
3.329875986	0.2103467547	0.1852431709
3.437899924	0.2077943951	0.1812147144
3.694165725	0.2039347999	0.1711536603
3.329875986	0.2100806417	0.1852431709
3.043085533	0.2088170001	0.1953265467
2.857227126	0.2152397088	0.201386652
2.792526803	0.2116729459	0.2034086963
2.857227126	0.2141647585	0.201386652
3.043085533	0.2093074306	0.1953265467
3.329875986	0.2110217092	0.1852431709
3.694165725	0.2046806757	0.1711536603
3.542631465	0.2032657037	0.1771886655
3.490658504	0.2064717355	0.1792014027
3.542631465	0.2045733244	0.1771886655
3.775724466	0.2058416331	0.1678028006
3.366269154	0.2082536714	0.1839000704
3.02299894	0.2085100267	0.195999479
2.770624294	0.2183718097	0.2040829566
2.635389378	0.2166657528	0.2081313115
2.635389378	0.2162197843	0.2081313115
2.770624294	0.2158148244	0.2040829566
3.02299894	0.2113271677	0.195999479
3.366269154	0.2103585811	0.1839000704
3.775724466	0.197408356	0.1678028006
3.677636937	0.2038565425	0.171823991
3.677636937	0.2042686037	0.171823991
3.887032804	0.2029948391	0.1631136987
3.437899924	0.2054181621	0.1812147144
3.043085533	0.2118737748	0.1953265467
2.726291445	0.2131832723	0.2054318631
2.517149644	0.2170860211	0.2115089948
2.443460953	0.2173084846	0.213537612
2.517149644	0.2124554438	0.2115089948
2.726291445	0.2204911442	0.2054318631
3.043085533	0.2101458666	0.1953265467
3.437899924	0.2094783516	0.1812147144
3.887032804	0.2009455373	0.1631136987
3.839724354	0.1998278147	0.1651230249
4.025623769	0.1995716812	0.1570881584
3.542631465	0.2068203755	0.1771886655
3.102565143	0.2117453461	0.1933083201
2.726291445	0.2158573767	0.2054318631
2.443460953	0.2182725393	0.213537612
2.288977855	0.2207165624	0.2176000425
2.288977855	0.2176749989	0.2176000425
2.443460953	0.2132807525	0.213537612
2.726291445	0.2160025024	0.2054318631
3.102565143	0.2109008043	0.1933083201
3.542631465	0.2010057162	0.1771886655
4.025623769	0.2030745906	0.1570881584
4.188790205	0.1964377662	0.1497281596
3.677636937	0.204257798	0.171823991
3.199241364	0.2086524557	0.1899464055
2.770624294	0.2143377786	0.2040829566
2.418399152	0.2171590211	0.2142141825
2.179915537	0.2219638976	0.2203127709
2.094395102	0.2215342349	0.2223500402
2.179915537	0.2215116169	0.2203127709
2.418399152	0.2207069724	0.2142141825
2.770624294	0.2118596952	0.2040829566
3.199241364	0.2047047551	0.1899464055
3.677636937	0.2037103013	0.171823991
3.839724354	0.2020627999	0.1651230249
3.839724354	0.2009491126	0.1651230249
3.329875986	0.2074509684	0.1852431709
2.857227126	0.2086766741	0.201386652
2.443460953	0.2212641653	0.213537612
2.123284675	0.2251498624	0.2216706706
1.943516402	0.2242545799	0.2257515913
1.943516402	0.2232652798	0.2257515913
2.123284675	0.2200197244	0.2216706706
2.443460953	0.2162756635	0.213537612
2.857227126	0.2103301389	0.201386652
3.329875986	0.2082866937	0.1852431709
3.490658504	0.2070680655	0.1792014027
4.025623769	0.2019795962	0.1570881584
3.490658504	0.2100942862	0.1792014027
2.982419933	0.2133544779	0.1973456405
2.517149644	0.2164817525	0.2115089948
2.123284675	0.2243474097	0.2216706706
1.847082863	0.2333735969	0.227796841
1.745329252	0.2287206532	0.2298459811
1.847082863	0.2282687984	0.227796841
2.123284675	0.2233504112	0.2216706706
2.517149644	0.2157003482	0.2115089948
2.982419933	0.2083561469	0.1973456405
3.141592654	0.2069402828	0.1919632932
3.677636937	0.2035665706	0.171823991
3.677636937	0.2038631744	0.171823991
3.141592654	0.2084535576	0.1919632932
2.635389378	0.2193517785	0.2081313115
2.179915537	0.221144995	0.2203127709
1.813799364	0.2272801766	0.2284794238
1.599620682	0.2367871946	0.2325855077
1.599620682	0.2297535448	0.2325855077
1.813799364	0.2234942866	0.2284794238
2.179915537	0.2238313591	0.2203127709
2.635389378	0.2132694625	0.2081313115
2.792526803	0.2152283657	0.2034086963
3.329875986	0.2078188454	0.1852431709
3.887032804	0.2026220538	0.1631136987
3.329875986	0.2114750373	0.1852431709
2.792526803	0.211599628	0.2034086963
2.288977855	0.2214993757	0.2176000425
1.847082863	0.2318824906	0.227796841
1.521542767	0.2324311359	0.2339590909
1.396263402	0.2366459904	0.2360254346
1.521542767	0.2373664596	0.2339590909
1.847082863	0.2297543217	0.227796841
2.288977855	0.2186530338	0.2176000425
2.443460953	0.218918288	0.213537612
2.982419933	0.2151245813	0.1973456405
3.542631465	0.2069408094	0.1771886655
3.542631465	0.2096327495	0.1771886655
2.982419933	0.2128482359	0.1973456405
2.443460953	0.2201653583	0.213537612
1.943516402	0.2252559352	0.2257515913
1.521542767	0.2354158079	0.2339590909
1.258574822	0.2378394852	0.2381008527
1.258574822	0.2384364982	0.2381008527
1.521542767	0.2379665138	0.2339590909
1.943516402	0.2246285035	0.2257515913
2.094395102	0.2240922523	0.2223500402
2.635389378	0.2167579672	0.2081313115
3.199241364	0.2105830773	0.1899464055
3.775724466	0.2025563074	0.1678028006
3.199241364	0.2076843269	0.1899464055
2.635389378	0.2193333286	0.2081313115
2.094395102	0.221517963	0.2223500402
1.599620682	0.2346472457	0.2325855077
1.209199576	0.238837976	0.2387952029
1.047197551	0.240177909	0.2408884007
1.209199576	0.2404510426	0.2387952029
1.599620682	0.2327603009	0.2325855077
1.745329252	0.2305635633	0.2298459811
2.288977855	0.2248232946	0.2176000425
2.857227126	0.2143640194	0.201386652
3.437899924	0.206180444	0.1812147144
3.437899924	0.2040448926	0.1812147144
2.857227126	0.2077906009	0.201386652
2.288977855	0.2198521389	0.2176000425
1.745329252	0.228040021	0.2298459811
1.258574822	0.2343717407	0.2381008527
0.9235414313	0.2428903647	0.2422953136
0.9235414313	0.2428586468	0.2422953136
1.258574822	0.2368129658	0.2381008527
1.396263402	0.2364756154	0.2360254346
1.943516402	0.2266764769	0.2257515913
2.517149644	0.2174565662	0.2115089948
3.102565143	0.2125695977	0.1933083201
3.694165725	0.206349351	0.1711536603
3.102565143	0.2103387986	0.1933083201
2.517149644	0.2253626822	0.2115089948
1.943516402	0.2212331623	0.2257515913
1.396263402	0.2378868831	0.2360254346
0.9235414313	0.2409635154	0.2422953136
0.6981317008	0.247838512	0.2444348793
0.9235414313	0.2384201198	0.2422953136
1.047197551	0.245025886	0.2408884007
1.599620682	0.2293380765	0.2325855077
2.179915537	0.2262773516	0.2203127709
2.770624294	0.2125064681	0.2040829566
3.366269154	0.2084213645	0.1839000704
3.366269154	0.2064853539	0.1839000704
2.770624294	0.2181090746	0.2040829566
2.179915537	0.2215845714	0.2203127709
1.599620682	0.2331675552	0.2325855077
1.047197551	0.2377103077	0.2408884007
0.6045997881	0.2430978239	0.2451615198
0.6045997881	0.2443444276	0.2451615198
0.6981317008	0.244087332	0.2444348793
1.258574822	0.2404529654	0.2381008527
1.847082863	0.2284219545	0.227796841
2.443460953	0.2166014064	0.213537612
3.043085533	0.2128843157	0.1953265467
3.64435447	0.2053255209	0.1731648167
3.043085533	0.2088524843	0.1953265467
2.443460953	0.2220383118	0.213537612
1.847082863	0.2282435967	0.227796841
1.258574822	0.2355456999	0.2381008527
0.6981317008	0.2423979717	0.2444348793
0.3490658504	0.2463011448	0.2466648706
0.3490658504	0.2478348416	0.2466648706
0.9235414313	0.2445362949	0.2422953136
1.521542767	0.2354499116	0.2339590909
2.123284675	0.2248856934	0.2216706706
2.726291445	0.2150833479	0.2054318631
3.329875986	0.2046183858	0.1852431709
3.329875986	0.2072135723	0.1852431709
2.726291445	0.214799369	0.2054318631
2.123284675	0.22218786	0.2216706706
1.521542767	0.2331665192	0.2339590909
0.9235414313	0.2419758755	0.2422953136
0.3490658504	0.2479279898	0.2466648706
